n_episode,n_iteration,n_sample,n_horizon,xo,yo,vxo,vyo,xg,yg,thetag,vxg,vyg,omegag
0,5,0,10,3.5531198978424072,6.657036304473877,4.679129123687744,1.8827285766601562,3.5250117778778076,7.131269931793213,-0.5890518426895142,4.716221809387207,1.9230343103408813,-0.04833757132291794
0,5,0,11,4.316596031188965,6.960756301879883,5.478012561798096,2.1579971313476562,4.288138389587402,7.433577060699463,-0.5846812725067139,5.43783712387085,2.102327823638916,0.10224483162164688
0,5,0,12,5.193594932556152,7.3130269050598145,6.191169738769531,2.524186849594116,5.162637710571289,7.7765913009643555,-0.5564240217208862,6.195818901062012,2.4579222202301025,0.26818427443504333
0,5,0,13,6.177129745483398,7.713898181915283,6.895162582397461,2.8036112785339355,6.140508651733398,8.162313461303711,-0.5059918761253357,6.814566135406494,2.6742212772369385,0.39752691984176636
0,5,0,14,7.262311935424805,8.151273727416992,7.528115272521973,3.0429797172546387,7.213460922241211,8.580460548400879,-0.43643200397491455,7.460347652435303,2.8848793506622314,0.5192539691925049
0,6,0,0,1.0383214950561523,5.140169143676758,0.16714581847190857,0.9227035641670227,0.8947175741195679,5.538126468658447,-0.09692338109016418,0.06451278179883957,0.8858505487442017,-0.2570030689239502
0,6,0,1,1.073943018913269,5.289666652679443,0.31630954146385193,1.0622050762176514,0.9054948687553406,5.679614067077637,-0.14099973440170288,0.0881793275475502,0.9982637166976929,-0.3293241560459137
0,6,0,2,1.136401653289795,5.468116760253906,0.5223087668418884,1.3153414726257324,0.9151303172111511,5.840002536773682,-0.19985456764698029,0.05427904054522514,1.1357864141464233,-0.4546590745449066
0,6,0,3,1.2387217283248901,5.6728434562683105,0.8341053128242493,1.4834955930709839,0.9464643597602844,6.014824867248535,-0.2801001965999603,0.37508919835090637,1.1909598112106323,-0.6101077198982239
0,6,0,4,1.396705985069275,5.906207084655762,1.2698174715042114,1.6723196506500244,1.0389083623886108,6.203455448150635,-0.3856297433376312,0.8684903383255005,1.3248671293258667,-0.7915512919425964
0,6,0,5,1.6354442834854126,6.162997722625732,1.9269479513168335,1.7504550218582153,1.239100694656372,6.409532070159912,-0.5155556201934814,1.8038252592086792,1.4411230087280273,-0.9392232298851013
0,6,0,6,1.984923005104065,6.443089962005615,2.727769136428833,2.0129764080047607,1.5785276889801025,6.645424842834473,-0.6635406017303467,2.7269070148468018,1.7175445556640625,-1.0265933275222778
0,7,0,0,1.0744330883026123,5.285494804382324,0.3206275999546051,1.0119969844818115,0.911551833152771,5.676616668701172,-0.13884663581848145,0.1736406534910202,0.9600876569747925,-0.3102133870124817
0,7,0,1,1.1381608247756958,5.450954914093018,0.5346577763557434,1.1934973001480103,0.9426060318946838,5.8302812576293945,-0.19468146562576294,0.25076824426651,1.08576500415802,-0.4318602383136749
0,7,0,2,1.2401620149612427,5.644402027130127,0.8297287821769714,1.3951138257980347,0.9909559488296509,6.000218868255615,-0.2695460021495819,0.4069972336292267,1.1783243417739868,-0.564530611038208
0,7,0,3,1.3932459354400635,5.873834133148193,1.2185649871826172,1.663689374923706,1.0740922689437866,6.1891889572143555,-0.36084088683128357,0.7128555178642273,1.3412706851959229,-0.6541955471038818
0,7,0,4,1.6210968494415283,6.12820291519165,1.806433081626892,1.7850232124328613,1.2348439693450928,6.3910627365112305,-0.47218582034111023,1.4393417835235596,1.358386754989624,-0.8248564004898071
0,7,0,5,1.9422582387924194,6.419869899749756,2.477156400680542,2.119265079498291,1.5094044208526611,6.61877965927124,-0.6039413809776306,2.225191593170166,1.6849976778030396,-0.9298496842384338
