n_episode,n_iteration,n_sample,n_horizon,xo,yo,thetao,vxo,vyo,omegao,xg,yg,thetag,vxg,vyg,omegag,shortest_distance,S_stick,S_engage
0,0,0,12,5.245803356170654,6.483524322509766,0.3091961145401001,-1.6025452964640863e-07,-1.7177195331896655e-05,2.6947800506604835e-05,4.8369598388671875,5.623465538024902,-0.02238374762237072,0.2959017753601074,0.2463482767343521,-0.1034570038318634,0.3976019322872162,0.0,0.0
0,0,0,13,5.245803356170654,6.4835205078125,0.30920150876045227,-1.6008084458007943e-07,-1.7177570043713786e-05,2.6948107915814035e-05,4.911088466644287,5.679449558258057,-0.035722509026527405,0.4398278594017029,0.3123890161514282,-0.008552716113626957,0.3640303313732147,0.0,0.0
0,0,0,14,5.245803356170654,6.483516693115234,0.30920690298080444,-1.5990714530289551e-07,-1.717794657452032e-05,2.6948415325023234e-05,4.977437496185303,5.770407199859619,-0.029707351699471474,0.23610341548919678,0.5816735625267029,0.05884344130754471,0.29755890369415283,0.0,0.0
0,0,0,15,5.245803356170654,6.483512878417969,0.3092122972011566,-1.597334460257116e-07,-1.717832128633745e-05,2.6948722734232433e-05,5.037297248840332,5.854174613952637,-0.011408071964979172,0.34923115372657776,0.26932862401008606,0.13962101936340332,0.23600240051746368,0.0,0.0
0,0,0,16,5.245803356170654,6.483509063720703,0.3092176914215088,-1.5955973253767297e-07,-1.717869599815458e-05,2.694902832445223e-05,5.111542701721191,5.903219699859619,0.01861760951578617,0.3872918486595154,0.2239990383386612,0.16069519519805908,0.21180355548858643,0.0,0.0
0,0,0,17,5.245803356170654,6.4835052490234375,0.30922308564186096,-1.5938600483877963e-07,-1.717907070997171e-05,2.6949335733661428e-05,5.191723823547363,5.976484298706055,0.05043793469667435,0.41710007190704346,0.4962029755115509,0.16367743909358978,0.16642944514751434,0.0,0.0
0,0,0,18,5.245803356170654,6.483501434326172,0.30922847986221313,-1.5921227713988628e-07,-1.717944542178884e-05,2.6949643142870627e-05,5.276176452636719,6.07960319519043,0.08440790325403214,0.4260900616645813,0.5328277945518494,0.18138755857944489,0.09391146898269653,0.0,0.0
0,0,0,19,5.245803356170654,6.4834980964660645,0.309233695268631,3.09956789124044e-07,-2.0466426576604135e-05,2.6716512365965173e-05,5.340434551239014,6.162980556488037,0.1234174370765686,0.21616077423095703,0.3028838038444519,0.21516147255897522,0.033988308161497116,0.0,0.0
0,0,0,20,5.245803356170654,6.483496189117432,0.30923667550086975,-5.780206606686988e-07,-3.808673227467807e-06,1.027569487632718e-05,5.351823806762695,6.17537784576416,0.15025803446769714,-0.061106402426958084,-0.09776242822408676,0.023696457967162132,0.025742845609784126,0.0,0.0
0,0,0,21,5.245803356170654,6.483493804931641,0.3092404901981354,-9.406359424701805e-08,-1.741525557008572e-05,2.6950612664222717e-05,5.350732326507568,6.167560577392578,0.14801070094108582,0.004997044336050749,-0.002870882861316204,3.248125722166151e-05,0.03283456712961197,0.0,0.0
