offset,distance,xo,yo,thetao,vxo,vyo,omegao,xg,yg,thetag,vxg,vyg,omegag
10,1,5,4.8,0.0,0.0,0.0,0.0,4.949999999999998,4.5,0.0,0.0,1.0,0.0
10,2,5,5.3,0.0,0.0,0.0,0.0,4.949999999999998,5.0,0.0,0.0,1.0,0.0
10,3,5,5.8,0.0,0.0,0.0,0.0,4.949999999999998,5.5,0.0,0.0,1.0,0.0
10,4,5,6.3,0.0,0.0,0.0,0.0,4.949999999999998,6.0,0.0,0.0,1.0,0.0
10,5,5,6.8,0.0,0.0,0.0,0.0,4.949999999999998,6.5,0.0,0.0,1.0,0.0
10,6,5,7.3,0.0,0.0,0.0,0.0,4.949999999999998,7.0,0.0,0.0,1.0,0.0
10,7,5,7.8,0.0,0.0,0.0,0.0,4.949999999999998,7.5,0.0,0.0,1.0,0.0
10,8,5,8.3,0.0,0.0,0.0,0.0,4.949999999999998,8.0,0.0,0.0,1.0,0.0
10,9,5,8.8,0.0,0.0,0.0,0.0,4.949999999999998,8.5,0.0,0.0,1.0,0.0
11,0,5,4.3,0.0,0.0,0.0,0.0,4.999999999999998,4.0,0.0,0.0,1.0,0.0
11,1,5,4.8,0.0,0.0,0.0,0.0,4.999999999999998,4.5,0.0,0.0,1.0,0.0
11,2,5,5.3,0.0,0.0,0.0,0.0,4.999999999999998,5.0,0.0,0.0,1.0,0.0
11,3,5,5.8,0.0,0.0,0.0,0.0,4.999999999999998,5.5,0.0,0.0,1.0,0.0
11,4,5,6.3,0.0,0.0,0.0,0.0,4.999999999999998,6.0,0.0,0.0,1.0,0.0
11,5,5,6.8,0.0,0.0,0.0,0.0,4.999999999999998,6.5,0.0,0.0,1.0,0.0
11,6,5,7.3,0.0,0.0,0.0,0.0,4.999999999999998,7.0,0.0,0.0,1.0,0.0
11,7,5,7.8,0.0,0.0,0.0,0.0,4.999999999999998,7.5,0.0,0.0,1.0,0.0
11,8,5,8.3,0.0,0.0,0.0,0.0,4.999999999999998,8.0,0.0,0.0,1.0,0.0
11,9,5,8.8,0.0,0.0,0.0,0.0,4.999999999999998,8.5,0.0,0.0,1.0,0.0
12,0,5,4.3,0.0,0.0,0.0,0.0,5.049999999999998,4.0,0.0,0.0,1.0,0.0
12,1,5,4.8,0.0,0.0,0.0,0.0,5.049999999999998,4.5,0.0,0.0,1.0,0.0
12,2,5,5.3,0.0,0.0,0.0,0.0,5.049999999999998,5.0,0.0,0.0,1.0,0.0
12,3,5,5.8,0.0,0.0,0.0,0.0,5.049999999999998,5.5,0.0,0.0,1.0,0.0
12,4,5,6.3,0.0,0.0,0.0,0.0,5.049999999999998,6.0,0.0,0.0,1.0,0.0
12,5,5,6.8,0.0,0.0,0.0,0.0,5.049999999999998,6.5,0.0,0.0,1.0,0.0
12,6,5,7.3,0.0,0.0,0.0,0.0,5.049999999999998,7.0,0.0,0.0,1.0,0.0
12,7,5,7.8,0.0,0.0,0.0,0.0,5.049999999999998,7.5,0.0,0.0,1.0,0.0
12,8,5,8.3,0.0,0.0,0.0,0.0,5.049999999999998,8.0,0.0,0.0,1.0,0.0
12,9,5,8.8,0.0,0.0,0.0,0.0,5.049999999999998,8.5,0.0,0.0,1.0,0.0
13,0,5,4.3,0.0,0.0,0.0,0.0,5.099999999999998,4.0,0.0,0.0,1.0,0.0
13,1,5,4.8,0.0,0.0,0.0,0.0,5.099999999999998,4.5,0.0,0.0,1.0,0.0
